Structure,Material,nbP,volume,mass,TC,density,lowest_valence,highest_valence,lowest_pediod,highest_pediod,lowest_group,highest_group,lowest_elMass,highest_elMass,lowest_nbneutrons,highest_nbneutrons,lowest_nbprotons,highest_nbprotons,lowest_nbelectrons,highest_nbelectrons,lowest_nbshells,highest_nbshells,lowest_electronegativity,highest_electronegativity,Ag,Al,As,B,Ba,Be,Br,C,Ca,Cd,Cl,Cs,Cu,F,Ga,H,I,In,K,Li,Mg,N,Na,O,P,Pb,Rb,S,Sb,Se,Si,Sr,Te,Zn
wurtzite,CdSe,4.0,28.32528615711941,382.742,12.476415846764713,5.60763725806445,2.0,6.0,4.0,5.0,12.0,16.0,78.96,112.411,45.0,64.0,34.0,48.0,34.0,48.0,4.0,5.0,1.69,2.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wurtzite,CdTe,4.0,34.32445600315216,480.0220000000001,6.284424732028807,5.803708294217565,2.0,6.0,5.0,5.0,12.0,16.0,112.411,127.6,64.0,76.0,48.0,52.0,48.0,52.0,5.0,5.0,1.69,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wurtzite,BrCu,4.0,21.53814356882703,286.9,3.5025703072506715,5.528029823903909,1.0,7.0,4.0,4.0,11.0,17.0,63.546,79.904,35.0,45.0,29.0,35.0,29.0,35.0,4.0,4.0,1.9,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,ClCu,4.0,18.280126120230076,197.998,1.7289937126642387,4.495000169012282,1.0,7.0,3.0,4.0,11.0,17.0,35.453,63.546,18.0,35.0,17.0,29.0,17.0,29.0,3.0,4.0,1.9,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,CuH,4.0,7.598291958426611,129.10788,5.777278381676896,7.051554545831751,1.0,1.0,1.0,4.0,1.0,11.0,1.007,63.546,0.0,35.0,1.0,29.0,1.0,29.0,1.0,4.0,1.9,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,CuI,4.0,25.9148731386731,380.90094,8.955042925685737,6.099736211484837,1.0,7.0,4.0,5.0,11.0,17.0,63.546,126.904,35.0,74.0,29.0,53.0,29.0,53.0,4.0,5.0,1.9,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,AsGa,4.0,22.647268591844256,289.2892,30.679165561702888,5.301081563682883,3.0,5.0,4.0,4.0,13.0,15.0,69.723,74.922,39.0,42.0,31.0,33.0,31.0,33.0,4.0,4.0,1.81,2.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,GaN,4.0,11.352914933393103,167.4594,300.67351603144067,6.121392735498062,3.0,5.0,2.0,4.0,13.0,15.0,14.007,69.723,7.0,39.0,7.0,31.0,7.0,31.0,2.0,4.0,1.81,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,GaP,4.0,20.08749554340685,201.393524,119.21823647454724,4.160713428879004,3.0,5.0,3.0,4.0,13.0,15.0,30.974,69.723,16.0,39.0,15.0,31.0,15.0,31.0,3.0,4.0,1.81,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wurtzite,GaSb,4.0,28.56094237229436,382.966,24.721266390128005,5.564623461240251,3.0,5.0,4.0,5.0,13.0,15.0,69.723,121.76,39.0,71.0,31.0,51.0,31.0,51.0,4.0,5.0,1.81,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wurtzite,AsIn,4.0,28.19433100117859,379.4792,21.438211001284497,5.5856572015635635,3.0,5.0,4.0,5.0,13.0,15.0,74.922,114.818,42.0,66.0,33.0,49.0,33.0,49.0,4.0,5.0,1.78,2.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,InN,4.0,15.498303713044542,257.6494,114.50887077331474,6.899109927107976,3.0,5.0,2.0,5.0,13.0,15.0,14.007,114.818,7.0,66.0,7.0,49.0,7.0,49.0,2.0,5.0,1.78,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,InP,4.0,25.382475841201046,291.583524,69.15364550709126,4.76735064053839,3.0,5.0,3.0,5.0,13.0,15.0,30.974,114.818,16.0,66.0,15.0,49.0,15.0,49.0,3.0,5.0,1.78,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wurtzite,InSb,4.0,34.63983666926274,473.156,10.878160439978116,5.668610446256451,3.0,5.0,5.0,5.0,13.0,15.0,114.818,121.76,66.0,71.0,49.0,51.0,49.0,51.0,5.0,5.0,1.78,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wurtzite,MgTe,4.0,33.43519886335819,303.80999999999995,8.352737219547302,3.770910725408396,2.0,6.0,3.0,5.0,2.0,16.0,24.305,127.6,12.0,76.0,12.0,52.0,12.0,52.0,3.0,5.0,1.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
wurtzite,CSi,4.0,10.356674361698362,80.1924,454.4101258161733,3.2133718641456386,4.0,4.0,2.0,3.0,14.0,14.0,12.011,28.086,6.0,14.0,6.0,14.0,6.0,14.0,2.0,3.0,1.9,2.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wurtzite,OZn,4.0,11.861858777099098,162.7588,56.28362862748213,5.694293219069887,2.0,6.0,2.0,4.0,12.0,16.0,15.999,65.38,8.0,35.0,8.0,30.0,8.0,30.0,2.0,4.0,1.65,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
wurtzite,SZn,4.0,19.282060068715108,194.89,61.09127307917177,4.194538846563687,2.0,6.0,3.0,4.0,12.0,16.0,32.065,65.38,16.0,35.0,16.0,30.0,16.0,30.0,3.0,4.0,1.65,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
wurtzite,SeZn,4.0,22.469154202587525,288.67999999999995,18.49308173215492,5.331851787558772,2.0,6.0,4.0,4.0,12.0,16.0,65.38,78.96,35.0,45.0,30.0,34.0,30.0,34.0,4.0,4.0,1.65,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wurtzite,TeZn,4.0,28.00695468846254,385.96,20.90239196689849,5.719058061888587,2.0,6.0,4.0,5.0,12.0,16.0,65.38,127.6,35.0,76.0,30.0,52.0,30.0,52.0,4.0,5.0,1.65,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
zincblende,AgI,8.0,33.46172606751822,939.09068,4.0876875222285385,5.823408980959733,1.0,7.0,5.0,5.0,11.0,17.0,107.868,126.904,61.0,74.0,47.0,53.0,47.0,53.0,5.0,5.0,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,AlAs,8.0,22.83811572334415,407.612556,80.87898505735956,3.7034406163178484,3.0,5.0,3.0,4.0,13.0,15.0,26.982,74.922,14.0,42.0,13.0,33.0,13.0,33.0,3.0,4.0,1.61,2.18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,AlN,8.0,10.485747689926763,163.952956,240.67197827649065,3.2444265660408633,3.0,5.0,2.0,3.0,13.0,15.0,14.007,26.982,7.0,14.0,7.0,13.0,7.0,13.0,2.0,3.0,1.61,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,AlP,8.0,20.472411502961855,231.821204,80.52964132425929,2.3496450246245146,3.0,5.0,3.0,3.0,13.0,15.0,26.982,30.974,14.0,16.0,13.0,15.0,13.0,15.0,3.0,3.0,1.61,2.19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
zincblende,AlSb,8.0,29.346322410310297,594.9661560000001,108.21515077187792,4.206846624387463,3.0,5.0,3.0,5.0,13.0,15.0,26.982,121.76,14.0,71.0,13.0,51.0,13.0,51.0,3.0,5.0,1.61,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zincblende,AsB,8.0,13.53564673180581,342.9304,1769.0012100965014,5.2570859309436715,3.0,5.0,2.0,4.0,13.0,15.0,10.811,74.922,6.0,42.0,5.0,33.0,5.0,33.0,2.0,4.0,2.0,2.18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,BeO,8.0,6.877170929008199,100.046328,368.0364229700956,3.0186268851389277,2.0,6.0,2.0,2.0,2.0,16.0,9.012,15.999,5.0,8.0,4.0,8.0,4.0,8.0,2.0,2.0,2.0,3.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
zincblende,BeS,8.0,14.177689110335555,164.30872799999997,196.41161229251907,2.4047685623988873,2.0,6.0,2.0,3.0,2.0,16.0,9.012,32.065,5.0,16.0,4.0,16.0,4.0,16.0,2.0,3.0,2.0,2.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zincblende,BeSe,8.0,16.9299859297245,351.888728,453.05605910409946,4.312874881472994,2.0,6.0,2.0,4.0,2.0,16.0,9.012,78.96,5.0,45.0,4.0,34.0,4.0,34.0,2.0,4.0,2.0,2.55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zincblende,BeTe,8.0,22.100067631694984,546.448728,265.1332487131116,5.130668057204656,2.0,6.0,2.0,5.0,2.0,16.0,9.012,127.6,5.0,76.0,4.0,52.0,4.0,52.0,2.0,5.0,2.0,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
zincblende,BN,8.0,5.86893916453759,99.2708,1297.6535193731645,3.5097809710595222,3.0,5.0,2.0,2.0,13.0,15.0,10.811,14.007,6.0,7.0,5.0,7.0,5.0,7.0,2.0,2.0,2.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,BP,8.0,11.551239068882857,167.139048,484.6934033296575,3.002392405973648,3.0,5.0,2.0,3.0,13.0,15.0,10.811,30.974,6.0,16.0,5.0,15.0,5.0,15.0,2.0,3.0,2.0,2.19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
zincblende,CdS,8.0,24.859235086163373,577.904,25.818777597301363,4.823763868211079,2.0,6.0,3.0,5.0,12.0,16.0,32.065,112.411,16.0,64.0,16.0,48.0,16.0,48.0,3.0,5.0,1.69,2.58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zincblende,CdSe,8.0,28.30284377441145,765.4839999999999,17.555091536304044,5.6120837632437865,2.0,6.0,4.0,5.0,12.0,16.0,78.96,112.411,45.0,64.0,34.0,48.0,34.0,48.0,4.0,5.0,1.69,2.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zincblende,CdTe,8.0,34.295529793142215,960.044,8.97031402923846,5.808603371971648,2.0,6.0,5.0,5.0,12.0,16.0,112.411,127.6,64.0,76.0,48.0,52.0,48.0,52.0,5.0,5.0,1.69,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
zincblende,BrCu,8.0,21.53627749155831,573.8,8.669870475809189,5.528508817118927,1.0,7.0,4.0,4.0,11.0,17.0,63.546,79.904,35.0,45.0,29.0,35.0,29.0,35.0,4.0,4.0,1.9,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,ClCu,8.0,18.294581435895797,395.996,1.8972895569482464,4.491448480957093,1.0,7.0,3.0,4.0,11.0,17.0,35.453,63.546,18.0,35.0,17.0,29.0,17.0,29.0,3.0,4.0,1.9,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,CuH,8.0,7.586164149059576,258.21576,17.148388842357107,7.062827688304378,1.0,1.0,1.0,4.0,1.0,11.0,1.007,63.546,0.0,35.0,1.0,29.0,1.0,29.0,1.0,4.0,1.9,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,CuI,8.0,25.91620214129598,761.80188,11.288801596747971,6.099423412357105,1.0,7.0,4.0,5.0,11.0,17.0,63.546,126.904,35.0,74.0,29.0,53.0,29.0,53.0,4.0,5.0,1.9,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,AsGa,8.0,22.6456421665602,578.5784,36.260249234690725,5.301462290933831,3.0,5.0,4.0,4.0,13.0,15.0,69.723,74.922,39.0,42.0,31.0,33.0,31.0,33.0,4.0,4.0,1.81,2.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,GaN,8.0,11.357507015690224,334.9188,268.3436985461308,6.118917725870018,3.0,5.0,2.0,4.0,13.0,15.0,14.007,69.723,7.0,39.0,7.0,31.0,7.0,31.0,2.0,4.0,1.81,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,GaP,8.0,20.0864052222414,402.787048,118.153031393418,4.1609392788439274,3.0,5.0,3.0,4.0,13.0,15.0,30.974,69.723,16.0,39.0,15.0,31.0,15.0,31.0,3.0,4.0,1.81,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
zincblende,GaSb,8.0,28.56639122478325,765.932,35.71790768152866,5.5635620456712385,3.0,5.0,4.0,5.0,13.0,15.0,69.723,121.76,39.0,71.0,31.0,51.0,31.0,51.0,4.0,5.0,1.81,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zincblende,AsIn,8.0,28.189956696691166,758.9584,24.83230873124552,5.586523941644966,3.0,5.0,4.0,5.0,13.0,15.0,74.922,114.818,42.0,66.0,33.0,49.0,33.0,49.0,4.0,5.0,1.78,2.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,InN,8.0,15.5217752501693,515.2988,107.01979700285294,6.888677311497199,3.0,5.0,2.0,5.0,13.0,15.0,14.007,114.818,7.0,66.0,7.0,49.0,7.0,49.0,2.0,5.0,1.78,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zincblende,InP,8.0,25.38884806513183,583.167048,85.89638395842621,4.766154106305717,3.0,5.0,3.0,5.0,13.0,15.0,30.974,114.818,16.0,66.0,15.0,49.0,15.0,49.0,3.0,5.0,1.78,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
zincblende,InSb,8.0,34.63259492065199,946.312,14.66007638969998,5.6697957646513935,3.0,5.0,5.0,5.0,13.0,15.0,114.818,121.76,66.0,71.0,49.0,51.0,49.0,51.0,5.0,5.0,1.78,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zincblende,MgTe,8.0,33.41621716669405,607.62,11.235859661473173,3.7730527477438445,2.0,6.0,3.0,5.0,2.0,16.0,24.305,127.6,12.0,76.0,12.0,52.0,12.0,52.0,3.0,5.0,1.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
zincblende,CSi,8.0,10.354242152791993,160.38479999999998,489.4072006791169,3.2141266843972915,4.0,4.0,2.0,3.0,14.0,14.0,12.011,28.086,6.0,14.0,6.0,14.0,6.0,14.0,2.0,3.0,1.9,2.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zincblende,OZn,8.0,11.846875368332645,325.5176,70.88344515489206,5.7014951115761106,2.0,6.0,2.0,4.0,12.0,16.0,15.999,65.38,8.0,35.0,8.0,30.0,8.0,30.0,2.0,4.0,1.65,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
zincblende,SZn,8.0,19.263352911992314,389.78,69.15317134764877,4.198612275314177,2.0,6.0,3.0,4.0,12.0,16.0,32.065,65.38,16.0,35.0,16.0,30.0,16.0,30.0,3.0,4.0,1.65,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
zincblende,SeZn,8.0,22.44619329129697,577.3599999999999,21.422100070808156,5.337305905070804,2.0,6.0,4.0,4.0,12.0,16.0,65.38,78.96,35.0,45.0,30.0,34.0,30.0,34.0,4.0,4.0,1.65,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
